,location_key,date,daily_confirmed,daily_tested,daily_deceased,daily_persons_vaccinated,daily_persons_fully_vaccinated,daily_vaccine_doses_administered,population,daily_cases_pervalence,daily_vaccine_doses_pervalence,daily_tested_pervalence,daily_death_rate
0,Afghanistan,1642377600000,214.0,0.0,5.0,27029.0,9035.0,30238.0,38928341.0,5.4973e-06,0.0007767606,0.0,0.023364486
1,Afghanistan,1642464000000,271.0,0.0,7.0,0.0,0.0,0.0,38928341.0,6.9615e-06,0.0,0.0,0.0258302583
2,Afghanistan,1642550400000,233.0,0.0,0.0,17285.0,3910.0,19003.0,38928341.0,5.9854e-06,0.0004881533,0.0,0.0
3,Afghanistan,1642636800000,276.0,0.0,2.0,0.0,0.0,0.0,38928341.0,7.09e-06,0.0,0.0,0.0072463768
4,Afghanistan,1642723200000,207.0,0.0,4.0,0.0,0.0,0.0,38928341.0,5.3175e-06,0.0,0.0,0.0193236715
5,Afghanistan,1642809600000,134.0,0.0,3.0,0.0,0.0,0.0,38928341.0,3.4422e-06,0.0,0.0,0.0223880597
6,Afghanistan,1642896000000,214.0,0.0,0.0,0.0,0.0,0.0,38928341.0,5.4973e-06,0.0,0.0,0.0
7,Afghanistan,1642982400000,792.0,0.0,11.0,36316.0,14576.0,42004.0,38928341.0,2.03451e-05,0.0010790082,0.0,0.0138888889
8,Afghanistan,1643068800000,727.0,0.0,8.0,0.0,0.0,0.0,38928341.0,1.86753e-05,0.0,0.0,0.0110041265
9,Afghanistan,1643155200000,301.0,0.0,2.0,24845.0,14972.0,28142.0,38928341.0,7.7322e-06,0.000722918,0.0,0.0066445183
10,Afghanistan,1643241600000,376.0,0.0,4.0,6008.0,2553.0,6868.0,38928341.0,9.6588e-06,0.0001764267,0.0,0.0106382979
11,Afghanistan,1643328000000,864.0,0.0,6.0,0.0,0.0,0.0,38928341.0,2.21946e-05,0.0,0.0,0.0069444444
12,Afghanistan,1643414400000,474.0,0.0,2.0,0.0,0.0,0.0,38928341.0,1.21762e-05,0.0,0.0,0.0042194093
